target_id	length	eff_length	est_counts	tpm
HORVU.MOREX.r2.1HG0000010.1	402	150.347	0	0
HORVU.MOREX.r2.1HG0000020.1	3693	3438.82	183	1.49331
HORVU.MOREX.r2.1HG0000030.1	1620	1365.82	0	0
HORVU.MOREX.r2.1HG0000040.1	1404	1149.82	68	1.65955
HORVU.MOREX.r2.1HG0000050.1	1968	1713.82	790	12.9352
HORVU.MOREX.r2.1HG0000060.1	387	136.333	1077	221.678
HORVU.MOREX.r2.1HG0000070.1	2235	1980.82	1019.41	14.4415
HORVU.MOREX.r2.1HG0000080.1	1140	885.817	824.999	26.1348
HORVU.MOREX.r2.1HG0000090.1	1407	1152.82	291	7.0834
HORVU.MOREX.r2.1HG0000100.1	630	375.861	62	4.62886
HORVU.MOREX.r2.1HG0000110.1	423	170.365	275	45.2961
HORVU.MOREX.r2.1HG0000120.1	1596	1341.82	515	10.7702
HORVU.MOREX.r2.1HG0000130.1	888	633.817	0	0
HORVU.MOREX.r2.1HG0000140.1	756	501.861	0	0
HORVU.MOREX.r2.1HG0000150.1	1161	906.817	0	0
HORVU.MOREX.r2.1HG0000160.1	354	107.498	0	0
HORVU.MOREX.r2.1HG0000170.1	1365	1110.82	0	0
HORVU.MOREX.r2.1HG0000180.1	1455	1200.82	0	0
HORVU.MOREX.r2.1HG0000190.1	1272	1017.82	0	0
HORVU.MOREX.r2.1HG0000200.1	1566	1311.82	4	0.085565
HORVU.MOREX.r2.1HG0000210.1	276	57.7882	0	0
HORVU.MOREX.r2.1HG0000220.1	441	187.854	0	0
HORVU.MOREX.r2.1HG0000230.1	3489	3234.82	0	0
HORVU.MOREX.r2.1HG0000240.1	2973	2718.82	0	0
HORVU.MOREX.r2.1HG0000250.1	240	44.4104	0	0
HORVU.MOREX.r2.1HG0000260.1	3444	3189.82	0	0
HORVU.MOREX.r2.1HG0000270.1	3615	3360.82	0	0
HORVU.MOREX.r2.1HG0000280.1	3996	3741.82	198	1.48488
HORVU.MOREX.r2.1HG0000290.1	4446	4191.82	0	0
HORVU.MOREX.r2.1HG0000300.1	4146	3891.82	0	0
HORVU.MOREX.r2.1HG0000310.1	4488	4233.82	5	0.0331396
HORVU.MOREX.r2.1HG0000320.1	4293	4038.82	4	0.0277917
HORVU.MOREX.r2.1HG0000330.1	558	303.922	0	0
HORVU.MOREX.r2.1HG0000340.1	1260	1005.82	0	0
HORVU.MOREX.r2.1HG0000350.1	1038	783.817	0	0
HORVU.MOREX.r2.1HG0000360.1	387	136.333	0	0
HORVU.MOREX.r2.1HG0000370.1	897	642.817	0	0
HORVU.MOREX.r2.1HG0000380.1	1062	807.817	0	0
HORVU.MOREX.r2.1HG0000390.1	3225	2970.82	0	0
HORVU.MOREX.r2.1HG0000400.1	210	34.717	0	0
HORVU.MOREX.r2.1HG0000410.1	420	167.46	0	0
HORVU.MOREX.r2.1HG0000420.1	435	182.005	0	0
HORVU.MOREX.r2.1HG0000430.1	303	71.7663	0	0
HORVU.MOREX.r2.1HG0000440.1	210	34.717	0	0
HORVU.MOREX.r2.1HG0000450.1	219	37.5632	0	0
HORVU.MOREX.r2.1HG0000460.1	735	480.861	0	0
HORVU.MOREX.r2.1HG0000470.1	732	477.861	599	35.175
HORVU.MOREX.r2.1HG0000480.1	345	100.192	0	0
HORVU.MOREX.r2.1HG0000490.1	2349	2094.82	5.15305	0.0690283
HORVU.MOREX.r2.1HG0000500.1	1032	777.817	0	0
HORVU.MOREX.r2.1HG0000510.1	159	20.7599	0	0
HORVU.MOREX.r2.1HG0000520.1	918	663.817	0	0
HORVU.MOREX.r2.1HG0000530.1	309	75.2915	0	0
HORVU.MOREX.r2.1HG0000540.1	318	81.0015	0	0
HORVU.MOREX.r2.1HG0000550.1	408	156.02	0	0
HORVU.MOREX.r2.1HG0000560.1	333	91.0774	0	0
HORVU.MOREX.r2.1HG0000570.1	441	187.854	0	0
HORVU.MOREX.r2.1HG0000580.1	681	426.861	7	0.460173
HORVU.MOREX.r2.1HG0000590.1	3468	3213.82	2	0.017463
HORVU.MOREX.r2.1HG0000600.1	1026	771.817	0	0
HORVU.MOREX.r2.1HG0000610.1	1722	1467.82	0	0
HORVU.MOREX.r2.1HG0000620.1	1662	1407.82	0	0
HORVU.MOREX.r2.1HG0000630.1	207	33.7333	0	0
HORVU.MOREX.r2.1HG0000640.1	3138	2883.82	0	0
HORVU.MOREX.r2.1HG0000650.1	609	354.861	0	0
HORVU.MOREX.r2.1HG0000660.1	918	663.817	4	0.169091
HORVU.MOREX.r2.1HG0000670.1	585	330.886	152	12.8907
HORVU.MOREX.r2.1HG0000680.1	375	125.502	0	0
HORVU.MOREX.r2.1HG0000690.1	312	77.1918	0	0
HORVU.MOREX.r2.1HG0000700.1	1644	1389.82	1301	26.2681
HORVU.MOREX.r2.1HG0000710.1	303	71.7663	0	0
HORVU.MOREX.r2.1HG0000720.1	2361	2106.82	4505	60.0036
HORVU.MOREX.r2.1HG0000730.1	2760	2505.82	403	4.513
HORVU.MOREX.r2.1HG0000740.1	699	444.861	196	12.3635
HORVU.MOREX.r2.1HG0000750.1	1935	1680.82	0	0
HORVU.MOREX.r2.1HG0000760.1	264	52.8776	7	3.7148
HORVU.MOREX.r2.1HG0000770.1	1065	810.817	0	0
HORVU.MOREX.r2.1HG0000780.1	318	81.0015	0	0
HORVU.MOREX.r2.1HG0000790.1	885	630.817	0	0
HORVU.MOREX.r2.1HG0000800.1	945	690.817	0	0
HORVU.MOREX.r2.1HG0000810.1	1167	912.817	0	0
HORVU.MOREX.r2.1HG0000820.1	750	495.861	0	0
HORVU.MOREX.r2.1HG0000830.1	315	79.0814	0	0
HORVU.MOREX.r2.1HG0000840.1	2319	2064.82	0	0
HORVU.MOREX.r2.1HG0000850.1	456	202.561	0	0
HORVU.MOREX.r2.1HG0000860.1	420	167.46	0	0
HORVU.MOREX.r2.1HG0000870.1	789	534.861	6	0.314789
HORVU.MOREX.r2.1HG0000880.1	627	372.861	48.087	3.61901
HORVU.MOREX.r2.1HG0000890.1	1122	867.817	17	0.549705
HORVU.MOREX.r2.1HG0000900.1	849	594.84	270.808	12.7753
HORVU.MOREX.r2.1HG0000910.1	1122	867.817	18	0.582041
HORVU.MOREX.r2.1HG0000920.1	369	120.33	0	0
HORVU.MOREX.r2.1HG0000930.1	627	372.861	30.913	2.32651
HORVU.MOREX.r2.1HG0000940.1	432	179.106	0	0
HORVU.MOREX.r2.1HG0000950.1	933	678.817	0	0
HORVU.MOREX.r2.1HG0000960.1	339	95.5813	594	174.39
HORVU.MOREX.r2.1HG0000970.1	2055	1800.82	3	0.0467478
HORVU.MOREX.r2.1HG0000980.1	528	274.027	33.6762	3.44857
HORVU.MOREX.r2.1HG0000990.1	561	306.922	0	0
HORVU.MOREX.r2.1HG0001000.1	417	164.596	0	0
HORVU.MOREX.r2.1HG0001010.1	969	714.817	0	0
HORVU.MOREX.r2.1HG0001020.1	549	294.944	759	72.2124
HORVU.MOREX.r2.1HG0001030.1	1377	1122.82	399	9.97179
HORVU.MOREX.r2.1HG0001040.1	513	259.077	0	0
HORVU.MOREX.r2.1HG0001050.1	1011	756.817	0	0
HORVU.MOREX.r2.1HG0001060.1	570	315.91	0	0
HORVU.MOREX.r2.1HG0001070.1	1665	1410.82	0	0
HORVU.MOREX.r2.1HG0001080.1	447	193.79	68.9625	9.986
HORVU.MOREX.r2.1HG0001090.1	345	100.192	0	0
HORVU.MOREX.r2.1HG0001100.1	894	639.817	0	0
HORVU.MOREX.r2.1HG0001110.1	255	49.5466	0	0
HORVU.MOREX.r2.1HG0001120.1	1599	1344.82	0	0
HORVU.MOREX.r2.1HG0001130.1	858	603.84	0	0
HORVU.MOREX.r2.1HG0001140.1	840	585.84	0	0
HORVU.MOREX.r2.1HG0001150.1	882	627.817	0	0
HORVU.MOREX.r2.1HG0001160.1	2058	1803.82	0	0
HORVU.MOREX.r2.1HG0001170.1	480	226.292	3	0.372017
HORVU.MOREX.r2.1HG0001180.1	384	133.542	0	0
HORVU.MOREX.r2.1HG0001190.1	1392	1137.82	0	0
HORVU.MOREX.r2.1HG0001200.1	570	315.91	0	0
HORVU.MOREX.r2.1HG0001210.1	423	170.365	0	0
HORVU.MOREX.r2.1HG0001220.1	885	630.817	0	0
HORVU.MOREX.r2.1HG0001230.1	324	84.7888	0	0
HORVU.MOREX.r2.1HG0001240.1	597	342.861	0	0
HORVU.MOREX.r2.1HG0001250.1	396	144.794	0	0
HORVU.MOREX.r2.1HG0001260.1	315	79.0814	0	0
HORVU.MOREX.r2.1HG0001270.1	321	82.9525	0	0
HORVU.MOREX.r2.1HG0001280.1	357	109.998	0	0
HORVU.MOREX.r2.1HG0001290.1	513	259.077	0	0
HORVU.MOREX.r2.1HG0001300.1	693	438.861	0	0
HORVU.MOREX.r2.1HG0001310.1	324	84.7888	0	0
HORVU.MOREX.r2.1HG0001320.1	366	117.709	0	0
HORVU.MOREX.r2.1HG0001330.1	426	173.282	0	0
HORVU.MOREX.r2.1HG0001340.1	1437	1182.82	0	0
HORVU.MOREX.r2.1HG0001350.1	1431	1176.82	0	0
HORVU.MOREX.r2.1HG0001360.1	417	164.596	0	0
HORVU.MOREX.r2.1HG0001370.1	279	59.2301	0	0
HORVU.MOREX.r2.1HG0001380.1	1425	1170.82	0	0
HORVU.MOREX.r2.1HG0001390.1	1431	1176.82	0	0
HORVU.MOREX.r2.1HG0001400.1	1920	1665.82	0	0
HORVU.MOREX.r2.1HG0001410.1	2079	1824.82	0	0
HORVU.MOREX.r2.1HG0001420.1	246	46.4435	0	0
HORVU.MOREX.r2.1HG0001430.1	1893	1638.82	0	0
HORVU.MOREX.r2.1HG0001440.1	2097	1842.82	0	0
HORVU.MOREX.r2.1HG0001450.1	813	558.861	0	0
HORVU.MOREX.r2.1HG0001460.1	1320	1065.82	3	0.0789856
HORVU.MOREX.r2.1HG0001470.1	1461	1206.82	0	0
HORVU.MOREX.r2.1HG0001480.1	1506	1251.82	0	0
HORVU.MOREX.r2.1HG0001490.1	411	158.849	4	0.706617
HORVU.MOREX.r2.1HG0001500.1	1107	852.817	0	0
HORVU.MOREX.r2.1HG0001510.1	411	158.849	0	0
HORVU.MOREX.r2.1HG0001520.1	1104	849.817	0	0
HORVU.MOREX.r2.1HG0001530.1	2724	2469.82	110	1.24979
HORVU.MOREX.r2.1HG0001540.1	1134	879.817	1563	49.8512
HORVU.MOREX.r2.1HG0001550.1	708	453.861	516	31.9033
HORVU.MOREX.r2.1HG0001560.1	1779	1524.82	11	0.202434
HORVU.MOREX.r2.1HG0001570.1	210	34.717	0	0
HORVU.MOREX.r2.1HG0001580.1	1368	1113.82	0	0
HORVU.MOREX.r2.1HG0001590.1	1497	1242.82	0	0
HORVU.MOREX.r2.1HG0001600.1	516	262.077	0	0
HORVU.MOREX.r2.1HG0001610.1	3738	3483.82	0	0
HORVU.MOREX.r2.1HG0001620.1	1302	1047.82	0	0
HORVU.MOREX.r2.1HG0001630.1	2004	1749.82	0	0
HORVU.MOREX.r2.1HG0001640.1	1095	840.817	180	6.00731
HORVU.MOREX.r2.1HG0001650.1	2970	2715.82	0	0
HORVU.MOREX.r2.1HG0001660.1	399	147.514	0	0
HORVU.MOREX.r2.1HG0001670.1	375	125.502	0	0
HORVU.MOREX.r2.1HG0001680.1	333	91.0774	0	0
HORVU.MOREX.r2.1HG0001690.1	1269	1014.82	80	2.21213
HORVU.MOREX.r2.1HG0001700.1	348	102.571	128	35.0184
HORVU.MOREX.r2.1HG0001710.1	498	244.151	876	100.683
HORVU.MOREX.r2.1HG0001720.1	1158	903.817	1068	33.1589
HORVU.MOREX.r2.1HG0001730.1	2055	1800.82	40	0.623304
HORVU.MOREX.r2.1HG0001740.1	714	459.861	0	0
HORVU.MOREX.r2.1HG0001750.1	1737	1482.82	0	0
HORVU.MOREX.r2.1HG0001760.1	2049	1794.82	0	0
HORVU.MOREX.r2.1HG0001770.1	540	285.976	0	0
HORVU.MOREX.r2.1HG0001780.1	945	690.817	0	0
HORVU.MOREX.r2.1HG0001790.1	4257	4002.82	0	0
HORVU.MOREX.r2.1HG0001800.1	600	345.861	0	0
HORVU.MOREX.r2.1HG0001810.1	255	49.5466	0	0
HORVU.MOREX.r2.1HG0001820.1	3489	3234.82	0	0
HORVU.MOREX.r2.1HG0001830.1	552	297.944	0	0
HORVU.MOREX.r2.1HG0001840.1	1212	957.817	0	0
HORVU.MOREX.r2.1HG0001850.1	1011	756.817	0	0
HORVU.MOREX.r2.1HG0001860.1	1017	762.817	0	0
HORVU.MOREX.r2.1HG0001870.1	2820	2565.82	122	1.33427
HORVU.MOREX.r2.1HG0001880.1	912	657.817	5.35438	0.228409
HORVU.MOREX.r2.1HG0001890.1	1263	1008.82	8	0.222529
HORVU.MOREX.r2.1HG0001900.1	2493	2238.82	4185	52.4549
HORVU.MOREX.r2.1HG0001910.1	957	702.817	289	11.5389
HORVU.MOREX.r2.1HG0001920.1	306	73.4485	431	164.666
HORVU.MOREX.r2.1HG0001930.1	306	73.4485	0	0
HORVU.MOREX.r2.1HG0001940.1	849	594.84	298	14.0581
HORVU.MOREX.r2.1HG0001950.1	1161	906.817	0	0
HORVU.MOREX.r2.1HG0001960.1	1251	996.817	0	0
HORVU.MOREX.r2.1HG0001970.1	1143	888.817	0	0
HORVU.MOREX.r2.1HG0001980.1	849	594.84	124	5.84967
HORVU.MOREX.r2.1HG0001990.1	255	49.5466	0	0
HORVU.MOREX.r2.1HG0002000.1	303	71.7663	0	0
HORVU.MOREX.r2.1HG0002010.1	648	393.861	0	0
HORVU.MOREX.r2.1HG0002020.1	3312	3057.82	1399	12.8385
HORVU.MOREX.r2.1HG0002030.1	369	120.33	0	0
HORVU.MOREX.r2.1HG0002040.1	315	79.0814	249	88.3556
HORVU.MOREX.r2.1HG0002050.1	1569	1314.82	70	1.49397
HORVU.MOREX.r2.1HG0002060.1	336	93.2779	7	2.10586
HORVU.MOREX.r2.1HG0002070.1	252	48.3857	2342	1358.25
HORVU.MOREX.r2.1HG0002080.1	303	71.7663	0	0
HORVU.MOREX.r2.1HG0002090.1	1833	1578.82	5	0.0888684
HORVU.MOREX.r2.1HG0002100.1	1167	912.817	0	0
HORVU.MOREX.r2.1HG0002110.1	234	42.5331	0	0
HORVU.MOREX.r2.1HG0002120.1	921	666.817	0	0
HORVU.MOREX.r2.1HG0002130.1	495	241.178	0	0
HORVU.MOREX.r2.1HG0002140.1	2511	2256.82	0	0
HORVU.MOREX.r2.1HG0002150.1	1089	834.817	0	0
HORVU.MOREX.r2.1HG0002160.1	1323	1068.82	0	0
HORVU.MOREX.r2.1HG0002170.1	333	91.0774	49	15.0971
HORVU.MOREX.r2.1HG0002180.1	1599	1344.82	977	20.3864
HORVU.MOREX.r2.1HG0002190.1	615	360.861	211	16.4079
